catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
"US department of jusice, office of justice programs","US department of jusice, office of justice programs","US Department of Jusice, Office of Justice Programs",US Executive Branch,Department of Justice,,,ojjdp.gov,,United States,,,,,,,
US department of justice,US department of justice,US Department of Justice,US Executive Branch,Department of Justice,,,amberalert.gov|bats.gov|doj.gov|firstfreedom.gov|medalofvalor.gov|ovc.gov|ovcttac.gov|projectsafechildhood.gov|scra.gov,,United States,,,,,,,
US department of justice,US department of justice,US Department of Justice,US Executive Branch,Department of Justice,,,elderjustice.gov|hig.gov|justice.gov|learndoj.gov|nicic.gov|nsopw.gov,,United States,,,,,,,
"US department of justice, bi, domestic security alliance council","US department of justice, bi, domestic security alliance council","US Department of Justice, BI, Domestic Security Alliance Council (DSAC)",US Executive Branch,Department of Justice,,,dsac.gov,,United States,,,,,,,
"US department of justice, civil rights division","US department of justice, civil rights division","US Department of Justice, Civil Rights Division",US Executive Branch,Department of Justice,,,servicemembers.gov,,United States,,,,,,,
"US department of justice, civil rights division","US department of justice, civil rights division","US Department of Justice, Civil Rights Division",US Executive Branch,Department of Justice,,,userra.gov,,United States,,,,,,,
"US department of justice, criminal division","US department of justice, criminal division","US Department of Justice, Criminal Division",US Executive Branch,Department of Justice,,,fara.gov,,United States,,,,,,,
"US department of justice, dea","US department of justice, dea","US Department of Justice, DEA",US Executive Branch,Department of Justice,,,getsmartaboutdrugs.gov,,United States,,,,,,,
"US department of justice, drug enforcement administration","US department of justice, drug enforcement administration","US Department of Justice, Drug Enforcement Administration",US Executive Branch,Department of Justice,,,justthinktwice.gov,,United States,,,,,,,
"US department of justice, fbi, leo","US department of justice, fbi, leo","US Department of Justice, FBI, LEO",US Executive Branch,Department of Justice,,,leo.gov,,United States,,,,,,,
"US department of justice, office of justice programs","US department of justice, office of justice programs","US Department of Justice, Office of Justice Programs",US Executive Branch,Department of Justice,,,crimevictims.gov|juvenilecouncil.gov|psob.gov|tribaljusticeandsafety.gov|vehiclehistory.gov,,United States,,,,,,,
"US department of justice, office of justice programs","US department of justice, office of justice programs","US Department of Justice, Office of Justice Programs",US Executive Branch,Department of Justice,,,ucrdatatool.gov,,United States,,,,,,,
"US department of justice, office of justice programs (ojp)","US department of justice, office of justice programs (ojp)","US Department of Justice, Office of Justice Programs (OJP)",US Executive Branch,Department of Justice,,,smart.gov,,United States,,,,,,,
"US department of justice, office of justice prograns (ojp)","US department of justice, office of justice prograns (ojp)","US Department of Justice, Office of Justice Prograns (OJP)",US Executive Branch,Department of Justice,,,ojp.gov,,United States,,,,,,,
"US department of justice, office of justice progrms (ojp)","US department of justice, office of justice progrms (ojp)","US Department of Justice, Office of Justice Progrms (OJP)",US Executive Branch,Department of Justice,,,crimesolutions.gov,,United States,,,,,,,
"US department of justice, ojp","US department of justice, ojp","US Department of Justice, OJP",US Executive Branch,Department of Justice,,,nmvtis.gov,,United States,,,,,,,
"US department of justice, u. s. national central bureau of interpol (interpol)","US department of justice, u. s. national central bureau of interpol (interpol)","US Department of Justice, U. S. NATIONAL CENTRAL BUREAU of INTERPOL (INTERPOL)",US Executive Branch,Department of Justice,,,interpol.gov,,United States,,,,,,,
bureau of labor statistics,bureau of labor statistics,Bureau of Labor Statistics,US Executive Branch,Department of Labor,,,bls.gov,,United States,,,,,,,
department of labor|labor department,department of labor|labor department,Department of Labor,US Executive Branch,Department of Labor,,,benefits.gov|dol.gov|govloans.gov|hirevets.gov|labor.gov|osha.gov|trainingproviderresults.gov|veterans.gov|whistleblowers.gov|youthrules.gov,dol,United States,,,,,,,
department of labor -eta,department of labor -eta,Department of Labor -ETA,US Executive Branch,Department of Labor,,,doleta.gov,,United States,,,,,,,
department of labor (ocio),department of labor (ocio),Department of Labor (OCIO),US Executive Branch,Department of Labor,,,employer.gov,,United States,,,,,,,
employment standards administration,employment standards administration,Employment Standards Administration,US Executive Branch,Department of Labor,,,dol-esa.gov,,United States,,,,,,,
employments standards administration,employments standards administration,Employments Standards Administration,US Executive Branch,Department of Labor,,,unionreports.gov,,United States,,,,,,,
job corps national data center,job corps national data center,Job Corps National Data Center,US Executive Branch,Department of Labor,,,jobcorps.gov,,United States,,,,,,,
mine safety and health administration (msha),mine safety and health administration (msha),Mine Safety and Health Administration (MSHA),US Executive Branch,Department of Labor,,,msha.gov,msha,United States,,,,,,,
office of disability employment policy,office of disability employment policy,Office of Disability Employment Policy,US Executive Branch,Department of Labor,,,disability.gov|wrp.gov,,United States,,,,,,,
office of the chief information officer,office of the chief information officer,Office of The Chief Information Officer,US Executive Branch,Department of Labor,,,apprenticeship.gov|apprenticeships.gov,,United States,,,,,,,
office of the chief information officer,office of the chief information officer,Office of the Chief Information Officer,US Executive Branch,Department of Labor,,,worker.gov,,United States,,,,,,,
"chemical weapons convention, treaty compliance division","chemical weapons convention, treaty compliance division","Chemical Weapons Convention, Treaty Compliance Division",US Executive Branch,Department of State,,,cwc.gov,,United States,,,,,,,
dept of state,dept of state,Dept of State,US Executive Branch,Department of State,,,iawg.gov|pepfar.gov|usconsulate.gov|usembassy.gov|usmission.gov,,United States,,,,,,,
dept. of state,dept. of state,Dept. of State,US Executive Branch,Department of State,,,osac.gov,,United States,,,,,,,
foreign service grievance board,foreign service grievance board,Foreign Service Grievance Board,US Executive Branch,Department of State,,,fsgb.gov,,United States,,,,,,,
information resources management bureau,information resources management bureau,Information Resources Management Bureau,US Executive Branch,Department of State,,,usdoscloud.gov,,United States,,,,,,,
international boundary and water commission,international boundary and water commission,International Boundary and Water Commission,US Executive Branch,Department of State,,,ibwc.gov,,United States,,,,,,,
US - asean connect,US - asean connect,US - ASEAN Connect,US Executive Branch,Department of State,,,usaseanconnect.gov,,United States,,,,,,,
us department of state|us state department,us department of state|us state department,US Department of State,US Executive Branch,Department of State,,,foreignassistance.gov|devtestfan1.gov|preprodfan.gov|securitytestfan.gov|supportfan.gov|america.gov|fan.gov|state.gov,dos,United States,,,,,,,
"office of the inspector general, department of state","office of the inspector general, department of state","Office of the Inspector General, Department of State",US Executive Branch,"Department of State, Office of Inspector General",,,stateoig.gov,,United States,,,,,,,
US geological survey,US geological survey,US Geological Survey,US Executive Branch,Department of the Interior,US Geological Survey,,lacoast.gov|lca.gov|lmvsci.gov,,United States,,,,,,,
US geological survey,US geological survey,US Geological Survey,US Executive Branch,Department of the Interior,US Geological Survey,,landfire.gov|mrlc.gov,,United States,,,,,,,
US geological survey,US geological survey,US Geological Survey,US Executive Branch,Department of the Interior,US Geological Survey,,nemi.gov,,United States,,,,,,,
US geological survey,US geological survey,US Geological Survey,US Executive Branch,Department of the Interior,US Geological Survey,,usgs.gov|watermonitor.gov,,United States,,,,,,,
us geological survey,us geological survey,US Geological Survey,US Executive Branch,Department of the Interior,US Geological Survey,,nationalmap.gov,,United States,,,,,,,
us geological survey,us geological survey,US Geological Survey,US Executive Branch,Department of the Interior,US Geological Survey,,wlci.gov,,United States,,,,,,,
us geological survey/volcano science center,us geological survey/volcano science center,US Volcano Science Center,US Executive Branch,Department of the Interior,US Geological Survey,,volcano.gov,,United States,,,,,,,
usgs,usgs,USGS,US Executive Branch,Department of the Interior,US Geological Survey,,coralreef.gov,,United States,,,,,,,
usgs bird banding laboratory,usgs bird banding laboratory,USGS Bird Banding Laboratory,US Executive Branch,Department of the Interior,US Geological Survey,,reportband.gov,,United States,,,,,,,
US geological survey,US geological survey,USGS Earthquake Hazards Program,US Executive Branch,Department of the Interior,US Geological Survey,,earthquake.gov,,United States,,,,,,,
US geological survey,US geological survey,USGS GeoMAC Wildfire Application,US Executive Branch,Department of the Interior,US Geological Survey,,geomac.gov,,United States,,,,,,,
US geological survey,US geological survey,USGS Grand Canyon Monitoring and Research Center,US Executive Branch,Department of the Interior,US Geological Survey,,gcmrc.gov,,United States,,,,,,,
usgs-nwrc,usgs-nwrc,USGS-NWRC,US Executive Branch,Department of the Interior,US Geological Survey,,jem.gov,,United States,,,,,,,
usgs/denver federal center,usgs/denver federal center,USGS/Denver Federal Center,US Executive Branch,Department of the Interior,US Geological Survey,,sciencebase.gov,,United States,,,,,,,
advisory committee on water information,advisory committee on water information,Advisory Committee on Water Information,US Executive Branch,Department of the Interior,,,acwi.gov,,United States,,,,,,,
aquatic nuisance species task force,aquatic nuisance species task force,Aquatic Nuisance Species Task Force,US Executive Branch,Department of the Interior,,,anstaskforce.gov,,United States,,,,,,,
aviation management directorate,aviation management directorate,Aviation Management Directorate,US Executive Branch,Department of the Interior,,,iat.gov|safecom.gov,,United States,,,,,,,
bureau of bureau of indian affairs|indian affairs|bureau of indian affairs,bureau of bureau of indian affairs|indian affairs|bureau of indian affairs,Bureau of Indian Affairs,US Executive Branch,Department of the Interior,,,bia.gov|indianaffairs.gov,bia,United States,,,,,,,
bureau of land management,bureau of land management,Bureau of Land Management,US Executive Branch,Department of the Interior,,,abandonedmines.gov,,United States,,,,,,,
bureau of land management,bureau of land management,Bureau of Land Management,US Executive Branch,Department of the Interior,,,firecode.gov,,United States,,,,,,,
bureau of land management - main domain,bureau of land management - main domain,Bureau of Land Management - Main Domain,US Executive Branch,Department of the Interior,,,blm.gov,,United States,,,,,,,
bureau of land management - utah fire info domain,bureau of land management - utah fire info domain,Bureau of Land Management - Utah Fire Info Domain,US Executive Branch,Department of the Interior,,,utahfireinfo.gov,,United States,,,,,,,
bureau of reclamation,bureau of reclamation,Bureau of Reclamation,US Executive Branch,Department of the Interior,,,bor.gov|gcdamp.gov|lcrmscp.gov|cupcao.gov|mitigationcommission.gov|usbr.gov,,United States,,,,,,,
department of interior|interior department,department of interior|interior department,Department of Interior,US Executive Branch,Department of the Interior,,,geoplatform.gov,doi,United States,,,,,,,
doi - US fish and wildlife service,doi - US fish and wildlife service,DOI - US Fish and Wildlife Service,US Executive Branch,Department of the Interior,,,rivers.gov,,United States,,,,,,,
interior business center,interior business center,Interior Business Center,US Executive Branch,Department of the Interior,,,fcg.gov,,United States,,,,,,,
joint fire science program,joint fire science program,Joint Fire Science Program,US Executive Branch,Department of the Interior,,,firescience.gov,jfsp,United States,,,,,,,
minerals management service,minerals management service,Minerals Management Service,US Executive Branch,Department of the Interior,,,bsee.gov|mms.gov|onrr.gov,,United States,,,,,,,
national business center,national business center,National Business Center,US Executive Branch,Department of the Interior,,,nbc.gov,,United States,,,,,,,
national fire plan operations & reporting system,national fire plan operations & reporting system,National Fire Plan Operations & Reporting System,US Executive Branch,Department of the Interior,,,nfpors.gov,,United States,,,,,,,
national interagency fire center,national interagency fire center,National Interagency Fire Center,US Executive Branch,Department of the Interior,,,nifc.gov,nifc,United States,,,,,,,
national park service,national park service,National Park Service,US Executive Branch,Department of the Interior,,,alaskacenters.gov|everykidoutdoors.gov|nps.gov,nps,United States,,,,,,,
national wildfire coordinating group,national wildfire coordinating group,National Wildfire Coordinating Group,US Executive Branch,Department of the Interior,,,firenet.gov,,United States,,,,,,,
office of navajo and hopi indian relocation,office of navajo and hopi indian relocation,Office of Navajo and Hopi Indian Relocation,US Executive Branch,Department of the Interior,,,onhir.gov,,United States,,,,,,,
office of surface mining,office of surface mining,Office of Surface Mining,US Executive Branch,Department of the Interior,,,osm.gov|osmre.gov,,United States,,,,,,,
office of the chief information officer,office of the chief information officer,Office of the Chief Information Officer,US Executive Branch,Department of the Interior,,,doi.gov,,United States,,,,,,,
piedras blancas light station,piedras blancas light station,Piedras Blancas Light Station,US Executive Branch,Department of the Interior,,,piedrasblancas.gov,,United States,,,,,,,
u. s. geological survey,u. s. geological survey,U. S. Geological Survey,US Executive Branch,Department of the Interior,,,fgdc.gov,usgs,United States,,,,,,,
bureau of ocean management,bureau of ocean management,US Bureau of Ocean Management,US Executive Branch,Department of the Interior,,,boem.gov,,United States,,,,,,,
US department of interior / oig,US department of interior / oig,US DEPARTMENT OF INTERIOR / OIG,US Executive Branch,Department of the Interior,,,doioig.gov,,United States,,,,,,,
us department of the interior,us department of the interior,US Department of the Interior,US Executive Branch,Department of the Interior,,,boemre.gov,,United States,,,,,,,
us department of the interior|us department of interior|interior department,us department of the interior|us department of interior|interior department,US Department of the Interior,US Executive Branch,Department of the Interior,,,interior.gov|landimaging.gov|volunteer.gov|evergladesrestoration.gov|fireleadership.gov|invasivespecies.gov|everykidinapark.gov,doi,United States,,,,,,,
,,US Federal Depository Library Program,US Executive Branch,Department of the Interior,,,fdlp.gov,,,,,,,,,
US fish and wildlife service,US fish and wildlife service,US Fish and Wildlife Service,US Executive Branch,Department of the Interior,,,fws.gov,,United States,,,,,,,
yosemite national park,yosemite national park,Yosemite National Park,US Executive Branch,Department of the Interior,,,sierrawild.gov,,United States,,,,,,,
alcohol and tobacco tax and trade bureau,alcohol and tobacco tax and trade bureau,Alcohol and Tobacco Tax and Trade Bureau,US Executive Branch,Department of the Treasury,,,ttb.gov|ttbonline.gov,,United States,,,,,,,
