academic_terms,original_string,new_string,domains,country,as_of,
universidad braulio carrillo,universidad braulio carrillo,universidad braulio carrillo,universidadbrauliocarrillo.com,Costa Rica,2021-08-24,
universidad católica anselmo llorente,universidad católica anselmo llorente,universidad católica anselmo llorente,ucatolica.ac.cr,Costa Rica,2021-08-24,
universidad central costa rica,universidad central costa rica,universidad central costa rica,universidadcentral.com,Costa Rica,2021-08-24,
universidad de cartago florencio del castillo,universidad de cartago florencio del castillo,universidad de cartago florencio del castillo,uca.ac.cr,Costa Rica,2021-08-24,
universidad de costa rica,universidad de costa rica,universidad de costa rica,ucr.ac.cr,Costa Rica,2021-08-24,
universidad de iberoamérica,universidad de iberoamérica,universidad de iberoamérica,unibe.ac.cr,Costa Rica,2021-08-24,
universidad ulasalle de costa rica,universidad ulasalle de costa rica,universidad ulasalle de costa rica,ulasalle.ac.cr,Costa Rica,2021-08-24,
universidad de san josé,universidad de san josé,universidad de san josé,universidadsanjosecr.com,Costa Rica,2021-08-24,
universidad del turismo,universidad del turismo,universidad del turismo,utur.ac.cr,Costa Rica,2021-08-24,
universidad empresarial,universidad empresarial,universidad empresarial,unem.edu,Costa Rica,2021-08-24,
universidad estatal a distancia,universidad estatal a distancia,universidad estatal a distancia,uned.ac.cr,Costa Rica,2021-08-24,
universidad fidélitas,universidad fidélitas,universidad fidélitas,ufidelitas.ac.cr,Costa Rica,2021-08-24,
universidad fundepos alma mater,universidad fundepos alma mater,universidad fundepos alma mater,fundepos.ac.cr,Costa Rica,2021-08-24,
universidad hispanoamericana,universidad hispanoamericana(?! [a-z]),universidad hispanoamericana,uhispanoamericana.ac.cr,Costa Rica,2021-08-24,
universidad internacional de las américas,universidad internacional de las américas,universidad internacional de las américas,uia.ac.cr,Costa Rica,2021-08-24,
universidad isaac newton,universidad isaac newton(?! [a-z]),universidad isaac newton,isaacnewtoncr.com,Costa Rica,2021-08-24,
universidad latina de costa rica,universidad latina de costa rica,universidad latina de costa rica,ulatina.ac.cr,Costa Rica,2021-08-24,
universidad latinoamericana de ciencia y tecnología,universidad latinoamericana de ciencia y tecnología,universidad latinoamericana de ciencia y tecnología,ulacit.ac.cr,Costa Rica,2021-08-24,
universidad libre de costa rica,universidad libre de costa rica,universidad libre de costa rica,ulicori.ac.cr,Costa Rica,2021-08-24,
universidad metropolitana castro carazo,universidad metropolitana castro carazo,universidad metropolitana castro carazo,umca.net,Costa Rica,2021-08-24,
universidad nacional,universidad nacional,universidad nacional,una.ac.cr,Costa Rica,2021-08-24,
universidad para la cooperación internacional,universidad para la cooperación internacional,universidad para la cooperación internacional,uci.ac.cr,Costa Rica,2021-08-24,
universidad san juan de la cruz,universidad san juan de la cruz,universidad san juan de la cruz,sjdlc.com,Costa Rica,2021-08-24,
universidad san marcos,universidad san marcos,universidad san marcos,usam.ac.cr,Costa Rica,2021-08-24,
universidad santa paula,universidad santa paula,universidad santa paula,uspsantapaula.com,Costa Rica,2021-08-24,
universidad veritas,universidad veritas,universidad veritas,uveritas.ac.cr,Costa Rica,2021-08-24,
university for peace,university for peace,university for peace,upeace.org,Costa Rica,2021-08-24,
université d'abobo adjamé,université d'abobo adjamé,université d'abobo-adjamé,uabobo.ci,Côte d'Ivoire,2021-08-24,
université de bouaké,université de bouaké,université de bouaké,ubouake.ci,Côte d'Ivoire,2021-08-24,
université de cocody,université de cocody,université de cocody,univ-cocody.ci,Côte d'Ivoire,2021-08-24,
algebra university college,algebra university college,algebra university college,algebra.hr,Croatia,2021-08-24,
university north,university north,university north,unin.hr,Croatia,2021-08-24,
university of dubrovnik,university of dubrovnik,university of dubrovnik,unidu.hr,Croatia,2021-08-24,
university of osijek,university of osijek,university of osijek,unios.hr,Croatia,2021-08-24,
university of pula,university of pula,university of pula,unipu.hr,Croatia,2021-08-24,
university of rijeka,university of rijeka,university of rijeka,uniri.hr,Croatia,2021-08-24,
university of split,university of split,university of split,unist.hr,Croatia,2021-08-24,
university of zadar,university of zadar,university of zadar,unizd.hr,Croatia,2021-08-24,
university of zagreb,university of zagreb,university of zagreb,unizg.hr,Croatia,2021-08-24,
vern' university of applied sciences,vern' university of applied sciences,vern' university of applied sciences,vern.hr,Croatia,2021-08-24,
zagreb school of economics and management,zagreb school of economics and management,zagreb school of economics and management,zsem.hr,Croatia,2021-08-24,
zagreb university of applied sciences,zagreb university of applied sciences,zagreb university of applied sciences,tvz.hr,Croatia,2021-08-24,
instituto superior minero metalúrgico dr. antonio núñez jiménez,instituto superior minero metalúrgico dr. antonio núñez jiménez,instituto superior minero metalúrgico dr. antonio núñez jiménez,ismm.edu.cu,Cuba,2021-08-24,
instituto superior politécnico josé antonio echeverría,instituto superior politécnico josé antonio echeverría,instituto superior politécnico josé antonio echeverría,cujae.edu.cu,Cuba,2021-08-24,
universidad central de las villas,universidad central de las villas,universidad central de las villas,uclv.edu.cu,Cuba,2021-08-24,
universidad de camagüey,universidad de camagüey,universidad de camagüey,reduc.edu.cu,Cuba,2021-08-24,
universidad de ciego de avila,universidad de ciego de avila,universidad de ciego de avila,unica.cu,Cuba,2021-08-24,
universidad de cienfuegos,universidad de cienfuegos,universidad de cienfuegos,ucf.edu.cu,Cuba,2021-08-24,
universidad de granma,universidad de granma,universidad de granma,udg.co.cu,Cuba,2021-08-24,
universidad de holguín,universidad de holguín,universidad de holguín,uho.edu.cu,Cuba,2021-08-24,
universidad de la habana,universidad de la habana,universidad de la habana,uh.cu,Cuba,2021-08-24,
universidad de matanzas camilo cienfuegos,universidad de matanzas camilo cienfuegos,universidad de matanzas camilo cienfuegos,umcc.cu,Cuba,2021-08-24,
universidad de oriente cuba,universidad de oriente cuba,universidad de oriente cuba,uo.edu.cu,Cuba,2021-08-24,
universidad de pinar del río,universidad de pinar del río,universidad de pinar del río,upr.edu.cu,Cuba,2021-08-24,
"universidad pedagógica josé martí, camagüey","universidad pedagógica josé martí, camagüey","universidad pedagógica josé martí, camagüey",ispcmw.rimed.cu,Cuba,2021-08-24,
americanos college,americanos college,americanos college,ac.ac.cy,Cyprus,2021-08-24,
cyprus college,cyprus college,cyprus college,cycollege.ac.cy,Cyprus,2021-08-24,
cyprus international institute of management,cyprus international institute of management,cyprus international institute of management,ciim.ac.cy,Cyprus,2021-08-24,
cyprus international university,cyprus international university,cyprus international university,ciu.edu.tr,Cyprus,2021-08-24,
cyprus university of technology,cyprus university of technology,cyprus university of technology,cut.ac.cy,Cyprus,2021-08-24,
eastern mediterranean university,eastern mediterranean university,eastern mediterranean university,emu.edu.tr,Cyprus,2021-08-24,
european university cyprus,european university cyprus,european university cyprus,euc.ac.cy,Cyprus,2021-08-24,
european university of lefke,european university of lefke,european university of lefke,lefke.edu.tr,Cyprus,2021-08-24,
frederick university,frederick university,frederick university,frederick.ac.cy,Cyprus,2021-08-24,
girne american university,girne american university,girne american university,gau.edu.tr,Cyprus,2021-08-24,
intercollege,intercollege,intercollege,intercollege.ac.cy,Cyprus,2021-08-24,
near east university,near east university,near east university,neu.edu.tr,Cyprus,2021-08-24,
open university of cyprus,open university of cyprus,open university of cyprus,ouc.ac.cy,Cyprus,2021-08-24,
the ctl eurocollege,the ctl eurocollege,the ctl eurocollege,ctleuro.ac.cy,Cyprus,2021-08-24,
university of cyprus,university of cyprus,university of cyprus,ucy.ac.cy,Cyprus,2021-08-24,
university of nicosia,university of nicosia,university of nicosia,unic.ac.cy,Cyprus,2021-08-24,
academy of performing arts film and tv fakulty,academy of performing arts film and tv fakulty,"academy of performing arts, film and tv fakulty",famu.cz,Czech Republic,2021-08-24,
anglo american university,anglo american university,anglo-american university,aauni.edu,Czech Republic,2021-08-24,
brno university of technology,brno university of technology,brno university of technology,vutbr.cz,Czech Republic,2021-08-24,
cevro institut college,cevro institut college,cevro institut college,vsci.cz,Czech Republic,2021-08-24,
charles university of prague|charles university in prague|charles university,charles university of prague|charles university in prague|charles university(?! [a-z]),charles university prague,cuni.cz,Czech Republic,2021-08-24,
czech technical university of prague|czech technical university in prague|czech technical university,czech technical university of prague|czech technical university in prague|czech technical university(?! [a-z]),czech technical university of prague,cvut.cz,Czech Republic,2021-08-24,
czech university of agriculture prague,czech university of agriculture prague,czech university of agriculture prague,czu.cz,Czech Republic,2021-08-24,
masaryk university,masaryk university,masaryk university,muni.cz,Czech Republic,2021-08-24,
mendel university of agriculture and forestry,mendel university of agriculture and forestry,mendel university of agriculture and forestry,mendelu.cz,Czech Republic,2021-08-24,
